               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,             0.01037,            0.004518,          0.00046818,             0.99502,             0.32808,              0.3426,             0.32787,           0.0075019,           0.0022187,          0.00054213,             0.00208,             0.00208,             0.00208
                  82,             0.01028,           0.0046331,          0.00038248,             0.99502,             0.32832,             0.34259,             0.32792,           0.0074954,           0.0022165,          0.00054041,            0.001981,            0.001981,            0.001981
                  83,            0.010238,           0.0045676,          0.00030575,             0.99502,             0.32825,             0.34322,             0.32854,           0.0074887,           0.0022132,          0.00053897,            0.001882,            0.001882,            0.001882
                  84,            0.010103,           0.0044705,          0.00033871,             0.99502,             0.32809,             0.34327,             0.32874,           0.0074833,           0.0022115,          0.00053777,            0.001783,            0.001783,            0.001783
                  85,            0.010125,           0.0045073,           0.0003163,             0.99501,             0.32794,             0.34375,             0.32945,           0.0074797,           0.0022096,          0.00053656,            0.001684,            0.001684,            0.001684
                  86,            0.010021,           0.0045539,          0.00030124,             0.99504,             0.32786,             0.34378,             0.32931,           0.0074764,           0.0022076,          0.00053559,            0.001585,            0.001585,            0.001585
                  87,           0.0098296,           0.0044064,          0.00036294,             0.99523,             0.32786,             0.34379,             0.32933,           0.0074749,           0.0022064,          0.00053449,            0.001486,            0.001486,            0.001486
                  88,           0.0098853,           0.0043906,          0.00032882,             0.99529,             0.32786,             0.34383,             0.32929,            0.007472,           0.0022052,          0.00053344,            0.001387,            0.001387,            0.001387
                  89,           0.0098161,            0.004398,          0.00032502,             0.99534,             0.32782,              0.3439,             0.32941,           0.0074677,           0.0022033,          0.00053245,            0.001288,            0.001288,            0.001288
                  90,           0.0097372,           0.0043762,          0.00035053,             0.99523,             0.32769,              0.3439,             0.32948,           0.0074636,           0.0022016,          0.00053169,            0.001189,            0.001189,            0.001189
                  91,           0.0097404,           0.0043234,          0.00030881,             0.99524,             0.32769,             0.34445,             0.32991,           0.0074602,           0.0022007,          0.00053095,             0.00109,             0.00109,             0.00109
                  92,            0.009593,           0.0042765,           0.0003361,             0.99517,             0.32773,             0.34447,             0.33005,           0.0074562,           0.0021998,          0.00052986,            0.000991,            0.000991,            0.000991
                  93,           0.0095479,           0.0042432,          0.00033987,             0.99517,             0.32772,             0.34453,             0.33009,           0.0074538,           0.0021988,          0.00052882,            0.000892,            0.000892,            0.000892
                  94,           0.0094746,           0.0042548,          0.00031607,             0.99517,             0.32776,             0.34464,             0.33022,           0.0074506,           0.0021979,          0.00052777,            0.000793,            0.000793,            0.000793
                  95,           0.0094073,           0.0042446,          0.00025806,             0.99517,             0.32774,              0.3449,             0.33051,           0.0074494,            0.002197,          0.00052666,            0.000694,            0.000694,            0.000694
                  96,           0.0093717,           0.0042234,          0.00029515,             0.99517,             0.32772,             0.34495,              0.3305,           0.0074484,            0.002196,          0.00052581,            0.000595,            0.000595,            0.000595
                  97,           0.0092876,           0.0042431,          0.00026118,             0.99522,             0.32769,             0.34525,             0.33076,           0.0074477,           0.0021957,          0.00052503,            0.000496,            0.000496,            0.000496
                  98,           0.0092118,           0.0041656,          0.00029004,             0.99525,             0.32769,             0.34528,             0.33077,           0.0074464,            0.002195,          0.00052414,            0.000397,            0.000397,            0.000397
                  99,           0.0092281,           0.0042139,          0.00029801,             0.99517,             0.32802,              0.3453,             0.33091,           0.0074452,           0.0021943,           0.0005233,            0.000298,            0.000298,            0.000298
